Year,Town,Census Units,Government Assisted,Tenant Rental Assistance,Deed Restricted Units,Total Assisted Units,Percent Affordable
2020,Plainfield,6229,377,190,0,791,12.7
2020,Plainville,8063,205,41,22,574,7.12
2020,Plymouth,5109,178,21,0,395,7.73
2020,Pomfret,1684,32,5,0,50,2.97
2020,Portland,4077,185,94,0,349,8.56
2020,Preston,2019,40,7,0,87,4.31
2020,Prospect,3474,0,6,0,62,1.78
2020,Putnam,4299,383,64,0,524,12.19
2020,Redding,3811,0,1,0,18,0.47
2020,Ridgefield,9420,175,7,69,287,3.05
2020,Rocky Hill,8843,235,52,0,481,5.44
2020,Roxbury,1167,19,0,0,24,2.06
2020,Salem,1635,0,3,0,37,2.26
2020,Salisbury,2593,24,2,14,42,1.62
2020,Scotland,680,0,1,0,32,4.71
2020,Seymour,6968,262,28,0,403,5.78
2020,Sharon,1775,32,1,0,36,2.03
2020,Shelton,16146,254,45,82,518,3.21
2020,Sherman,1831,0,1,0,8,0.44
2020,Simsbury,9123,289,60,0,447,4.9
2020,Somers,3479,146,9,0,190,5.46
2020,South Windsor,10243,443,55,9,739,7.21
2020,Southbury,9091,90,6,0,137,1.51
2020,Southington,17447,499,63,51,967,5.54
2020,Sprague,1248,20,13,1,61,4.89
2020,Stafford,5124,257,22,0,406,7.92
2020,Stamford,50573,4225,1971,1270,7916,15.65
2020,Sterling,1511,0,7,0,31,2.05
2020,Stonington,9467,441,16,0,554,5.85
2020,Stratford,21091,524,460,33,1390,6.59
2020,Suffield,5469,296,5,15,367,6.71
2020,Thomaston,3276,104,6,0,208,6.35
2020,Thompson,4171,151,13,0,212,5.08
2020,Tolland,5451,127,5,3,238,4.37
2020,Torrington,16761,908,322,17,1794,10.7
2020,Trumbull,13157,315,19,303,734,5.58
2020,Union,388,0,0,0,5,1.29
2020,Vernon,13896,1509,461,12,2368,17.04
2020,Voluntown,1127,20,1,0,45,3.99
2020,Wallingford,18945,354,129,35,846,4.47
2020,Warren,811,0,0,0,1,0.12
2020,Washington,2124,14,2,23,43,2.02
2020,Waterbury,47991,5344,3123,21,10239,21.34
2020,Waterford,8634,123,30,0,419,4.85
2020,Watertown,9096,205,32,0,466,5.12
2020,West Hartford,26396,643,854,250,2119,8.03
2020,West Haven,22446,1024,1868,0,3331,14.84
2020,Westbrook,3937,140,5,29,204,5.18
2020,Weston,3674,0,2,0,8,0.22
2020,Westport,10399,265,60,58,387,3.72
2020,Wethersfield,11677,705,114,0,1112,9.52
2020,Willington,2637,160,5,0,202,7.66
2020,Wilton,6475,158,6,51,232,3.58
2020,Winchester,5613,350,167,0,609,10.85
2020,Windham,9570,1763,617,0,2743,28.66
2020,Windsor,11767,154,258,26,891,7.57
2020,Windsor Locks,5429,297,156,0,696,12.82
2020,Wolcott,6276,313,9,0,506,8.06
2020,Woodbridge,3478,30,8,0,44,1.27
2020,Woodbury,4564,60,3,0,91,1.99
2020,Woodstock,3582,24,0,0,56,1.56
2019,Andover,1317,18,1,0,48,3.64
2019,Ansonia,8148,349,752,9,1250,15.34
2019,Ashford,1903,32,0,0,67,3.52
2019,Avon,7389,244,13,0,300,4.06
2019,Barkhamsted,1589,0,6,0,26,1.64
2019,Beacon Falls,2509,0,3,0,49,1.95
2019,Berlin,8140,556,54,10,758,9.31
2019,Bethany,2044,0,2,0,14,0.68
2019,Bethel,7310,152,27,78,414,5.66
2019,Bethlehem,1575,24,1,0,34,2.16
2019,Bloomfield,9019,558,99,0,998,11.07
2019,Bolton,2015,0,1,0,29,1.44
2019,Bozrah,1059,0,3,0,33,3.12
2019,Branford,13972,233,60,0,469,3.36
2019,Bridgeport,57012,6395,4301,19,11631,20.4
2019,Bridgewater,881,0,0,0,1,0.11
2019,Bristol,27011,1908,884,0,3894,14.42
2019,Brookfield,6562,155,23,77,366,5.58
2019,Brooklyn,3235,189,9,0,268,8.28
2019,Burlington,3389,27,0,0,71,2.1
2019,Canaan,779,1,4,1,10,1.28
2019,Canterbury,2043,76,1,0,141,6.9
2019,Canton,4339,211,17,32,309,7.12
2019,Chaplin,988,0,0,0,36,3.64
2019,Cheshire,10424,258,22,17,394,3.78
2019,Chester,1923,23,3,0,42,2.18
2019,Clinton,6065,105,8,0,171,2.82
2019,Colchester,6182,364,35,4,549,8.88
2019,Colebrook,722,0,1,1,8,1.11
2019,Columbia,2308,24,2,0,89,3.86
2019,Cornwall,1007,28,2,0,33,3.28
2019,Coventry,5099,103,5,20,261,5.12
2019,Cromwell,6001,212,8,0,417,6.95
2019,Danbury,31154,1590,1254,296,3711,11.91
2019,Darien,7074,136,11,104,253,3.58
2019,Deep River,2096,26,5,0,61,2.91
2019,Derby,5849,275,281,0,666,11.39
2019,Durham,2694,36,1,0,64,2.38
2019,East Granby,2152,72,1,0,116,5.39
2019,East Haddam,4508,73,5,0,137,3.04
2019,East Hampton,5485,70,5,25,186,3.39
2019,East Hartford,21328,1592,869,0,3491,16.37
2019,East Haven,12533,542,152,0,1007,8.03
2019,East Lyme,8458,396,20,19,525,6.21
2019,East Windsor,5045,559,43,0,707,14.01
2019,Eastford,793,0,0,0,16,2.02
2019,Easton,2715,0,0,15,17,0.63
2019,Ellington,6665,260,5,0,372,5.58
2019,Enfield,17558,1340,219,7,2218,12.63
2019,Essex,3261,58,4,16,99,3.04
2019,Fairfield,21648,231,115,126,535,2.47
2019,Farmington,11106,470,107,155,875,7.88
2019,Franklin,771,27,1,0,44,5.71
2019,Glastonbury,13656,604,44,2,781,5.72
2019,Goshen,1664,1,0,0,5,0.3
2019,Granby,4360,85,1,5,138,3.17
2019,Greenwich,25631,863,459,33,1371,5.35
2019,Griswold,5118,137,53,0,355,6.94
2019,Groton,17978,3727,99,10,4212,23.43
2019,Guilford,9596,186,10,0,231,2.41
2019,Haddam,3504,22,1,0,50,1.43
2019,Hamden,25114,937,725,4,2178,8.67
2019,Hampton,793,0,1,0,14,1.77
2019,Hartford,51822,10394,8474,0,20382,39.33
2019,Hartland,856,2,0,0,6,0.7
2019,Harwinton,2282,22,4,0,59,2.59
2019,Hebron,3567,56,3,0,103,2.89
2019,Kent,1665,58,4,0,67,4.02
2019,Killingly,7592,520,147,0,868,11.43
2019,Killingworth,2598,0,0,5,24,0.92
2019,Lebanon,3125,26,3,0,112,3.58
2019,Ledyard,5987,32,7,0,264,4.41
2019,Lisbon,1730,2,0,0,62,3.58
2019,Litchfield,3975,140,2,19,186,4.68
2019,Lyme,1223,0,0,8,12,0.98
2019,Madison,8049,90,2,33,136,1.69
2019,Manchester,25996,1851,962,32,3809,14.65
2019,Mansfield,6017,175,130,2,407,6.76
2019,Marlborough,2389,24,1,0,52,2.18
2019,Meriden,25892,1962,1249,11,4260,16.45
2019,Middlebury,2892,77,4,20,127,4.39
2019,Middlefield,1863,30,3,1,53,2.84
2019,Middletown,21223,3019,1068,25,4632,21.83
2019,Milford,23074,726,227,74,1226,5.31
2019,Monroe,6918,32,2,8,96,1.39
2019,Montville,7407,81,54,0,394,5.32
2019,Morris,1314,20,4,0,31,2.36
2019,Naugatuck,13061,493,317,0,1159,8.87
2019,New Britain,31226,2913,1550,117,5731,18.35
2019,New Canaan,7551,175,22,21,222,2.94
2019,New Fairfield,5593,0,4,17,84,1.5
2019,New Hartford,2923,12,7,15,88,3.01
2019,New Haven,54967,9407,6721,478,17615,32.05
2019,New London,11840,1598,507,96,2703,22.83
2019,New Milford,11731,307,42,17,538,4.59
2019,Newington,13011,531,116,36,1155,8.88
2019,Newtown,10061,134,9,26,267,2.65
2019,Norfolk,967,21,2,0,27,2.79
2019,North Branford,5629,62,12,0,125,2.22
2019,North Canaan,1587,148,1,0,163,10.27
2019,North Haven,9491,343,57,23,516,5.44
2019,North Stonington,2306,0,0,6,35,1.52
2019,Norwalk,35415,2169,1425,636,4657,13.15
2019,Norwich,18659,2221,789,0,3572,19.14
2019,Old Lyme,5021,60,1,3,82,1.63
2019,Old Saybrook,5602,50,10,73,155,2.77
2019,Orange,5345,46,8,6,73,1.37
2019,Oxford,4746,36,4,0,72,1.52
2019,Plainfield,6229,377,173,0,778,12.49
2019,Plainville,8063,205,53,22,578,7.17
2019,Plymouth,5109,178,16,0,389,7.61
2019,Pomfret,1684,32,2,0,47,2.79
2019,Portland,4077,185,88,0,346,8.49
2019,Preston,2019,40,6,0,86,4.26
2019,Prospect,3474,0,7,0,59,1.7
2019,Putnam,4299,383,64,0,531,12.35
2019,Redding,3811,0,1,0,18,0.47
2019,Ridgefield,9420,175,6,69,284,3.01
2019,Rocky Hill,8843,235,45,0,475,5.37
2019,Roxbury,1167,19,0,0,24,2.06
2019,Salem,1635,0,2,0,32,1.96
2019,Salisbury,2593,24,2,14,42,1.62
2019,Scotland,680,0,1,0,26,3.82
2019,Seymour,6968,262,29,0,405,5.81
2019,Sharon,1775,32,1,0,35,1.97
2019,Shelton,16146,254,46,82,506,3.13
2019,Sherman,1831,0,1,0,8,0.44
2019,Simsbury,9123,289,50,0,432,4.74
2019,Somers,3479,146,7,0,186,5.35
2019,South Windsor,10243,443,52,9,732,7.15
2019,Southbury,9091,90,5,0,134,1.47
2019,Southington,17447,499,69,51,948,5.43
2019,Sprague,1248,20,13,1,63,5.05
2019,Stafford,5124,257,25,0,407,7.94
2019,Stamford,50573,4210,1913,1270,7827,15.48
2019,Sterling,1511,0,7,0,36,2.38
2019,Stonington,9467,441,24,0,561,5.93
2019,Stratford,21091,524,424,33,1347,6.39
2019,Suffield,5469,296,3,15,364,6.66
